location,date,total_vaccinations,longitude,latitude
Argentina,18/03/2022,95809033,-58.4004,-34.6051
Argentina,18/04/2021,6679375,-58.4004,-34.6051
Argentina,18/05/2021,10964559,-58.4004,-34.6051
Argentina,18/06/2021,18496943,-58.4004,-34.6051
Argentina,18/07/2021,28243888,-58.4004,-34.6051
Argentina,18/08/2021,39273735,-58.4004,-34.6051
Argentina,18/09/2021,49952864,-58.4004,-34.6051
Argentina,18/10/2021,57379549,-58.4004,-34.6051
Argentina,18/11/2021,66827452,-58.4004,-34.6051
Argentina,18/12/2021,74775728,-58.4004,-34.6051
Argentina,19/01/2021,256132,-58.4004,-34.6051
Argentina,19/01/2022,85223968,-58.4004,-34.6051
Argentina,19/02/2021,787950,-58.4004,-34.6051
Argentina,19/02/2022,92818952,-58.4004,-34.6051
Argentina,19/03/2021,3247967,-58.4004,-34.6051
Argentina,19/03/2022,95874962,-58.4004,-34.6051
Argentina,19/04/2021,6769821,-58.4004,-34.6051
Argentina,19/05/2021,11132179,-58.4004,-34.6051
Argentina,19/06/2021,18729444,-58.4004,-34.6051
Argentina,19/07/2021,28662359,-58.4004,-34.6051
Argentina,19/08/2021,39699325,-58.4004,-34.6051
Argentina,19/09/2021,50090324,-58.4004,-34.6051
Argentina,19/10/2021,57802899,-58.4004,-34.6051
Argentina,19/11/2021,67215950,-58.4004,-34.6051
Argentina,19/12/2021,74867798,-58.4004,-34.6051
Argentina,20/01/2021,275552,-58.4004,-34.6051
Argentina,20/01/2022,85605498,-58.4004,-34.6051
Argentina,20/02/2021,820564,-58.4004,-34.6051
Argentina,20/02/2022,92872654,-58.4004,-34.6051
Argentina,20/03/2021,3298824,-58.4004,-34.6051
Argentina,20/03/2022,95905903,-58.4004,-34.6051
Argentina,20/04/2021,6892475,-58.4004,-34.6051
Argentina,20/05/2021,11314627,-58.4004,-34.6051
Argentina,20/06/2021,18828634,-58.4004,-34.6051
Argentina,20/07/2021,29110604,-58.4004,-34.6051
Argentina,20/08/2021,40134991,-58.4004,-34.6051
Argentina,20/09/2021,50435834,-58.4004,-34.6051
Argentina,20/10/2021,58216555,-58.4004,-34.6051
Argentina,20/11/2021,67388983,-58.4004,-34.6051
Argentina,20/12/2021,75211465,-58.4004,-34.6051
Argentina,21/01/2021,289666,-58.4004,-34.6051
Argentina,21/01/2022,85975208,-58.4004,-34.6051
Argentina,21/02/2021,840738,-58.4004,-34.6051
Argentina,21/02/2022,93074188,-58.4004,-34.6051
Argentina,21/03/2021,3318448,-58.4004,-34.6051
Argentina,21/03/2022,96019209,-58.4004,-34.6051
Argentina,21/04/2021,7066367,-58.4004,-34.6051
Argentina,21/05/2021,11491787,-58.4004,-34.6051
Argentina,21/06/2021,18998243,-58.4004,-34.6051
Argentina,21/07/2021,29530291,-58.4004,-34.6051
Argentina,21/08/2021,40392079,-58.4004,-34.6051
Argentina,21/09/2021,50744927,-58.4004,-34.6051
Argentina,21/10/2021,58635512,-58.4004,-34.6051
Argentina,21/11/2021,67482054,-58.4004,-34.6051
Argentina,21/12/2021,75561730,-58.4004,-34.6051
Argentina,22/01/2021,298880,-58.4004,-34.6051
Argentina,22/01/2022,86148083,-58.4004,-34.6051
Argentina,22/02/2021,908273,-58.4004,-34.6051
Argentina,22/02/2022,93276206,-58.4004,-34.6051
Argentina,22/03/2021,3401463,-58.4004,-34.6051
Argentina,22/03/2022,96121604,-58.4004,-34.6051
Argentina,22/04/2021,7244460,-58.4004,-34.6051
Argentina,22/05/2021,11592202,-58.4004,-34.6051
Argentina,22/06/2021,19285778,-58.4004,-34.6051
Argentina,22/07/2021,29916891,-58.4004,-34.6051
Argentina,22/08/2021,40562023,-58.4004,-34.6051
Argentina,22/09/2021,51073099,-58.4004,-34.6051
Argentina,22/10/2021,59098278,-58.4004,-34.6051
Argentina,22/11/2021,67588831,-58.4004,-34.6051
Argentina,22/12/2021,75886701,-58.4004,-34.6051
Argentina,23/01/2021,302824,-58.4004,-34.6051
Argentina,23/01/2022,86266468,-58.4004,-34.6051
Argentina,23/02/2021,995195,-58.4004,-34.6051
Argentina,23/02/2022,93479239,-58.4004,-34.6051
Argentina,23/03/2021,3507886,-58.4004,-34.6051
Argentina,23/03/2022,96230448,-58.4004,-34.6051
Argentina,23/04/2021,7438953,-58.4004,-34.6051
Argentina,23/05/2021,11637450,-58.4004,-34.6051
Argentina,23/06/2021,19548705,-58.4004,-34.6051
Argentina,23/07/2021,30324246,-58.4004,-34.6051
Argentina,23/08/2021,40970186,-58.4004,-34.6051
Argentina,23/09/2021,51384252,-58.4004,-34.6051
Argentina,23/10/2021,59314570,-58.4004,-34.6051
Argentina,23/11/2021,67924087,-58.4004,-34.6051
Argentina,23/12/2021,76123242,-58.4004,-34.6051
Argentina,24/01/2021,303127,-58.4004,-34.6051
Argentina,24/01/2022,86631900,-58.4004,-34.6051
Argentina,24/02/2021,1088962,-58.4004,-34.6051
Argentina,24/02/2022,93648755,-58.4004,-34.6051
Argentina,24/03/2021,3545338,-58.4004,-34.6051
Argentina,24/03/2022,96253927,-58.4004,-34.6051
Argentina,24/04/2021,7531156,-58.4004,-34.6051
Argentina,24/05/2021,11725786,-58.4004,-34.6051
Argentina,24/06/2021,19853067,-58.4004,-34.6051
Argentina,24/07/2021,30561709,-58.4004,-34.6051
Argentina,24/08/2021,41418757,-58.4004,-34.6051
Argentina,24/09/2021,51645199,-58.4004,-34.6051
Argentina,24/10/2021,59460169,-58.4004,-34.6051
Argentina,24/11/2021,68270485,-58.4004,-34.6051
Argentina,24/12/2021,76136015,-58.4004,-34.6051
Argentina,25/01/2021,317336,-58.4004,-34.6051
Argentina,25/01/2022,86976496,-58.4004,-34.6051
Argentina,25/02/2021,1168375,-58.4004,-34.6051
Argentina,25/02/2022,93852237,-58.4004,-34.6051
Argentina,25/03/2021,3648499,-58.4004,-34.6051
Argentina,25/03/2022,96355507,-58.4004,-34.6051
Argentina,25/04/2021,7580460,-58.4004,-34.6051
Argentina,25/05/2021,11789175,-58.4004,-34.6051
Argentina,25/06/2021,20229522,-58.4004,-34.6051
Argentina,25/07/2021,30695523,-58.4004,-34.6051
Argentina,25/08/2021,41844913,-58.4004,-34.6051
Argentina,25/09/2021,51773272,-58.4004,-34.6051
Argentina,25/10/2021,59824318,-58.4004,-34.6051
Argentina,25/11/2021,68589570,-58.4004,-34.6051
Argentina,25/12/2021,76136727,-58.4004,-34.6051
Argentina,26/01/2021,330141,-58.4004,-34.6051
Argentina,26/01/2022,87317607,-58.4004,-34.6051
Argentina,26/02/2021,1250025,-58.4004,-34.6051
Argentina,26/02/2022,93924603,-58.4004,-34.6051
Argentina,26/03/2021,3742033,-58.4004,-34.6051
Argentina,26/03/2022,96402680,-58.4004,-34.6051
Argentina,26/04/2021,7752513,-58.4004,-34.6051
Argentina,26/05/2021,11942138,-58.4004,-34.6051
Argentina,26/06/2021,20545497,-58.4004,-34.6051
Argentina,26/07/2021,31103010,-58.4004,-34.6051
Argentina,26/08/2021,42287089,-58.4004,-34.6051
Argentina,26/09/2021,51861196,-58.4004,-34.6051
Argentina,26/10/2021,60232437,-58.4004,-34.6051
Argentina,26/11/2021,68920554,-58.4004,-34.6051
Argentina,26/12/2021,76189684,-58.4004,-34.6051
Argentina,27/01/2021,340245,-58.4004,-34.6051
Argentina,27/01/2022,87666580,-58.4004,-34.6051
Argentina,27/02/2021,1267903,-58.4004,-34.6051
Argentina,27/02/2022,93959645,-58.4004,-34.6051
Argentina,27/03/2021,3797100,-58.4004,-34.6051
Argentina,27/03/2022,96423008,-58.4004,-34.6051
Argentina,27/04/2021,7906177,-58.4004,-34.6051
Argentina,27/05/2021,12111425,-58.4004,-34.6051
Argentina,27/06/2021,20721624,-58.4004,-34.6051
Argentina,27/07/2021,31530930,-58.4004,-34.6051
Argentina,27/08/2021,42754157,-58.4004,-34.6051
Argentina,27/09/2021,52143384,-58.4004,-34.6051
Argentina,27/10/2021,60559858,-58.4004,-34.6051
Argentina,27/11/2021,69076959,-58.4004,-34.6051
Argentina,27/12/2021,76619365,-58.4004,-34.6051
Argentina,28/01/2021,356295,-58.4004,-34.6051
Argentina,28/01/2022,88011114,-58.4004,-34.6051
Argentina,28/02/2021,1274023,-58.4004,-34.6051
Argentina,28/02/2022,94004167,-58.4004,-34.6051
Argentina,28/03/2021,3817910,-58.4004,-34.6051
Argentina,28/03/2022,96504666,-58.4004,-34.6051
Argentina,28/04/2021,8065116,-58.4004,-34.6051
Argentina,28/05/2021,12357317,-58.4004,-34.6051
Argentina,28/06/2021,21094475,-58.4004,-34.6051
Argentina,28/07/2021,31990703,-58.4004,-34.6051
Argentina,28/08/2021,42997534,-58.4004,-34.6051
Argentina,28/09/2021,52443812,-58.4004,-34.6051
Argentina,28/10/2021,60911546,-58.4004,-34.6051
Argentina,28/11/2021,69166082,-58.4004,-34.6051
Argentina,28/12/2021,77140145,-58.4004,-34.6051
Argentina,29/01/2021,379788,-58.4004,-34.6051
Argentina,29/01/2022,88167557,-58.4004,-34.6051
Argentina,29/03/2021,3938071,-58.4004,-34.6051
Argentina,29/03/2022,96504666,-58.4004,-34.6051
Argentina,29/04/2021,8221290,-58.4004,-34.6051
Argentina,29/05/2021,12584721,-58.4004,-34.6051
Argentina,29/06/2021,21468730,-58.4004,-34.6051
Argentina,29/07/2021,32415361,-58.4004,-34.6051
Argentina,29/08/2021,43166244,-58.4004,-34.6051
Argentina,29/09/2021,52698785,-58.4004,-34.6051
Argentina,29/10/2021,61235582,-58.4004,-34.6051
Argentina,29/11/2021,69522313,-58.4004,-34.6051
Argentina,29/12/2020,20487,-58.4004,-34.6051
Argentina,29/12/2021,77635209,-58.4004,-34.6051
Argentina,30/01/2021,389100,-58.4004,-34.6051
Argentina,30/01/2022,88263675,-58.4004,-34.6051
Argentina,30/03/2021,4101044,-58.4004,-34.6051
Argentina,30/04/2021,8336172,-58.4004,-34.6051
Argentina,30/05/2021,12713530,-58.4004,-34.6051
Argentina,30/06/2021,21844248,-58.4004,-34.6051
Argentina,30/07/2021,32842070,-58.4004,-34.6051
Argentina,30/08/2021,43583595,-58.4004,-34.6051
Argentina,30/09/2021,53034896,-58.4004,-34.6051
Argentina,30/10/2021,61364685,-58.4004,-34.6051
Argentina,30/11/2021,69891322,-58.4004,-34.6051
Argentina,30/12/2020,40589,-58.4004,-34.6051
Argentina,30/12/2021,78058787,-58.4004,-34.6051
Argentina,31/01/2021,389724,-58.4004,-34.6051
Argentina,31/01/2022,88618810,-58.4004,-34.6051
Argentina,31/03/2021,4275940,-58.4004,-34.6051
Argentina,31/05/2021,13012400,-58.4004,-34.6051
Argentina,31/07/2021,33116539,-58.4004,-34.6051
Argentina,31/08/2021,44043112,-58.4004,-34.6051
Argentina,31/10/2021,61514470,-58.4004,-34.6051
Argentina,31/12/2020,43394,-58.4004,-34.6051
Argentina,31/12/2021,78090547,-58.4004,-34.6051
Austria,01/10/2021,11095265,16.3707,48.2064
Austria,02/04/2021,1855144,16.3707,48.2064
Austria,02/07/2021,8278355,16.3707,48.2064
Austria,03/09/2021,10673041,16.3707,48.2064
Austria,03/12/2021,14662776,16.3707,48.2064
Austria,04/02/2022,17826759,16.3707,48.2064
Austria,04/03/2022,18065964,16.3707,48.2064
Austria,04/06/2021,5803857,16.3707,48.2064
Austria,05/02/2021,362885,16.3707,48.2064
Austria,05/03/2021,881718,16.3707,48.2064
Austria,05/11/2021,11929294,16.3707,48.2064
Austria,06/08/2021,10150644,16.3707,48.2064
Austria,07/01/2022,16856528,16.3707,48.2064
Austria,07/05/2021,3755166,16.3707,48.2064
Austria,08/01/2021,31655,16.3707,48.2064
Austria,08/10/2021,11234150,16.3707,48.2064
Austria,09/04/2021,2210349,16.3707,48.2064
Austria,09/07/2021,8778273,16.3707,48.2064
Austria,10/09/2021,10764452,16.3707,48.2064
Austria,10/12/2021,15333101,16.3707,48.2064
Austria,11/02/2022,17930675,16.3707,48.2064
Austria,11/03/2022,18093208,16.3707,48.2064
Austria,11/06/2021,6440424,16.3707,48.2064
Austria,12/02/2021,480183,16.3707,48.2064
Austria,12/03/2021,1141003,16.3707,48.2064
Austria,12/11/2021,12425394,16.3707,48.2064
Austria,13/08/2021,10332881,16.3707,48.2064
Austria,14/01/2022,17188980,16.3707,48.2064
Austria,14/05/2021,4182843,16.3707,48.2064
Austria,15/01/2021,117277,16.3707,48.2064
Austria,15/10/2021,11367258,16.3707,48.2064
Austria,16/04/2021,2586682,16.3707,48.2064
Austria,16/07/2021,9202556,16.3707,48.2064
Austria,17/09/2021,10871608,16.3707,48.2064
Austria,17/12/2021,16009886,16.3707,48.2064
Austria,18/02/2022,17989653,16.3707,48.2064
Austria,18/03/2022,18115716,16.3707,48.2064
Austria,18/06/2021,7037791,16.3707,48.2064
Austria,19/02/2021,583549,16.3707,48.2064
Austria,19/03/2021,1380289,16.3707,48.2064
Austria,19/11/2021,13113819,16.3707,48.2064
Austria,20/08/2021,10484459,16.3707,48.2064
Austria,21/01/2022,17430708,16.3707,48.2064
Austria,21/05/2021,4727883,16.3707,48.2064
Austria,22/01/2021,215364,16.3707,48.2064
Austria,22/10/2021,11522944,16.3707,48.2064
Austria,23/04/2021,2940737,16.3707,48.2064
Austria,23/07/2021,9574939,16.3707,48.2064
